Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (Â°C),Quality
IDCJAC0002,040913,1999,12,27.2,Y
IDCJAC0002,040913,2000,01,29.3,Y
IDCJAC0002,040913,2000,02,28.4,Y
IDCJAC0002,040913,2000,03,28.8,Y
IDCJAC0002,040913,2000,04,26.5,Y
IDCJAC0002,040913,2000,05,23.7,Y
IDCJAC0002,040913,2000,06,21.0,Y
IDCJAC0002,040913,2000,07,21.8,Y
IDCJAC0002,040913,2000,08,23.5,Y
IDCJAC0002,040913,2000,09,27.0,Y
IDCJAC0002,040913,2000,10,26.5,Y
IDCJAC0002,040913,2000,11,26.6,Y
IDCJAC0002,040913,2000,12,29.3,Y
IDCJAC0002,040913,2001,01,30.4,Y
IDCJAC0002,040913,2001,02,29.1,Y
IDCJAC0002,040913,2001,03,29.8,Y
IDCJAC0002,040913,2001,04,26.9,Y
IDCJAC0002,040913,2001,05,24.5,Y
IDCJAC0002,040913,2001,06,23.2,Y
IDCJAC0002,040913,2001,07,22.4,Y
IDCJAC0002,040913,2001,08,23.1,Y
IDCJAC0002,040913,2001,09,25.1,Y
IDCJAC0002,040913,2001,10,27.8,Y
IDCJAC0002,040913,2001,11,27.5,Y
IDCJAC0002,040913,2001,12,30.6,Y
IDCJAC0002,040913,2002,01,31.4,Y
IDCJAC0002,040913,2002,02,31.3,Y
IDCJAC0002,040913,2002,03,29.9,Y
IDCJAC0002,040913,2002,04,27.8,Y
IDCJAC0002,040913,2002,05,24.1,Y
IDCJAC0002,040913,2002,06,22.4,Y
IDCJAC0002,040913,2002,07,22.5,Y
IDCJAC0002,040913,2002,08,22.5,Y
IDCJAC0002,040913,2002,09,26.3,Y
IDCJAC0002,040913,2002,10,27.6,Y
IDCJAC0002,040913,2002,11,28.3,Y
IDCJAC0002,040913,2002,12,29.7,Y
IDCJAC0002,040913,2003,01,30.4,Y
IDCJAC0002,040913,2003,02,28.8,Y
IDCJAC0002,040913,2003,03,27.9,Y
IDCJAC0002,040913,2003,04,26.2,Y
IDCJAC0002,040913,2003,05,24.1,Y
IDCJAC0002,040913,2003,06,22.4,Y
IDCJAC0002,040913,2003,07,21.2,Y
IDCJAC0002,040913,2003,08,22.6,Y
IDCJAC0002,040913,2003,09,27.6,Y
IDCJAC0002,040913,2003,10,26.5,Y
IDCJAC0002,040913,2003,11,27.7,Y
IDCJAC0002,040913,2003,12,29.1,Y
IDCJAC0002,040913,2004,01,31.5,Y
IDCJAC0002,040913,2004,02,32.2,Y
IDCJAC0002,040913,2004,03,29.0,Y
IDCJAC0002,040913,2004,04,27.4,Y
IDCJAC0002,040913,2004,05,24.7,Y
IDCJAC0002,040913,2004,06,23.3,Y
IDCJAC0002,040913,2004,07,23.0,Y
IDCJAC0002,040913,2004,08,23.6,Y
IDCJAC0002,040913,2004,09,25.2,Y
IDCJAC0002,040913,2004,10,28.4,Y
IDCJAC0002,040913,2004,11,28.2,Y
IDCJAC0002,040913,2004,12,29.3,Y
IDCJAC0002,040913,2005,01,30.2,Y
IDCJAC0002,040913,2005,02,30.8,Y
IDCJAC0002,040913,2005,03,29.3,Y
IDCJAC0002,040913,2005,04,27.7,Y
IDCJAC0002,040913,2005,05,24.8,Y
IDCJAC0002,040913,2005,06,21.9,Y
IDCJAC0002,040913,2005,07,22.4,Y
IDCJAC0002,040913,2005,08,23.0,Y
IDCJAC0002,040913,2005,09,25.5,Y
IDCJAC0002,040913,2005,10,28.3,Y
IDCJAC0002,040913,2005,11,28.1,Y
IDCJAC0002,040913,2005,12,32.1,Y
IDCJAC0002,040913,2006,01,30.6,Y
IDCJAC0002,040913,2006,02,30.8,Y
IDCJAC0002,040913,2006,03,28.3,Y
IDCJAC0002,040913,2006,04,27.8,Y
IDCJAC0002,040913,2006,05,25.0,Y
IDCJAC0002,040913,2006,06,21.8,Y
IDCJAC0002,040913,2006,07,22.5,Y
IDCJAC0002,040913,2006,08,24.0,Y
IDCJAC0002,040913,2006,09,24.2,Y
IDCJAC0002,040913,2006,10,25.9,Y
IDCJAC0002,040913,2006,11,27.6,Y
IDCJAC0002,040913,2006,12,27.4,Y
IDCJAC0002,040913,2007,01,29.8,Y
IDCJAC0002,040913,2007,02,29.4,Y
IDCJAC0002,040913,2007,03,30.8,Y
IDCJAC0002,040913,2007,04,28.0,Y
IDCJAC0002,040913,2007,05,26.5,Y
IDCJAC0002,040913,2007,06,20.4,Y
IDCJAC0002,040913,2007,07,21.3,Y
IDCJAC0002,040913,2007,08,23.1,Y
IDCJAC0002,040913,2007,09,25.5,Y
IDCJAC0002,040913,2007,10,27.9,Y
IDCJAC0002,040913,2007,11,26.7,Y
IDCJAC0002,040913,2007,12,28.5,Y
IDCJAC0002,040913,2008,01,28.9,Y
IDCJAC0002,040913,2008,02,29.0,Y
IDCJAC0002,040913,2008,03,27.3,Y
IDCJAC0002,040913,2008,04,26.1,Y
IDCJAC0002,040913,2008,05,24.3,Y
IDCJAC0002,040913,2008,06,22.9,Y
IDCJAC0002,040913,2008,07,20.6,Y
IDCJAC0002,040913,2008,08,21.6,Y
IDCJAC0002,040913,2008,09,24.6,Y
IDCJAC0002,040913,2008,10,24.9,Y
IDCJAC0002,040913,2008,11,28.2,Y
IDCJAC0002,040913,2008,12,30.2,Y
IDCJAC0002,040913,2009,01,30.1,Y
IDCJAC0002,040913,2009,02,29.9,Y
IDCJAC0002,040913,2009,03,29.0,Y
IDCJAC0002,040913,2009,04,27.4,Y
IDCJAC0002,040913,2009,05,24.0,Y
IDCJAC0002,040913,2009,06,21.6,Y
IDCJAC0002,040913,2009,07,21.4,Y
IDCJAC0002,040913,2009,08,25.5,Y
IDCJAC0002,040913,2009,09,26.7,Y
IDCJAC0002,040913,2009,10,27.8,Y
IDCJAC0002,040913,2009,11,29.5,Y
IDCJAC0002,040913,2009,12,30.2,Y
IDCJAC0002,040913,2010,01,31.1,Y
IDCJAC0002,040913,2010,02,30.1,Y
IDCJAC0002,040913,2010,03,28.2,Y
IDCJAC0002,040913,2010,04,27.3,Y
IDCJAC0002,040913,2010,05,23.8,Y
IDCJAC0002,040913,2010,06,21.6,Y
IDCJAC0002,040913,2010,07,21.7,Y
IDCJAC0002,040913,2010,08,22.0,Y
IDCJAC0002,040913,2010,09,24.8,Y
IDCJAC0002,040913,2010,10,24.8,Y
IDCJAC0002,040913,2010,11,26.6,Y
IDCJAC0002,040913,2010,12,27.8,Y
IDCJAC0002,040913,2011,01,29.6,Y
IDCJAC0002,040913,2011,02,30.6,Y
IDCJAC0002,040913,2011,03,28.7,Y
IDCJAC0002,040913,2011,04,26.2,Y
IDCJAC0002,040913,2011,05,23.4,Y
IDCJAC0002,040913,2011,06,20.9,Y
IDCJAC0002,040913,2011,07,21.5,Y
IDCJAC0002,040913,2011,08,22.6,Y
IDCJAC0002,040913,2011,09,24.9,Y
IDCJAC0002,040913,2011,10,25.6,Y
IDCJAC0002,040913,2011,11,28.8,Y
IDCJAC0002,040913,2011,12,27.6,Y
IDCJAC0002,040913,2012,01,28.7,Y
IDCJAC0002,040913,2012,02,29.8,Y
IDCJAC0002,040913,2012,03,28.2,Y
IDCJAC0002,040913,2012,04,26.5,Y
IDCJAC0002,040913,2012,05,24.0,Y
IDCJAC0002,040913,2012,06,21.1,Y
IDCJAC0002,040913,2012,07,21.4,Y
IDCJAC0002,040913,2012,08,23.3,Y
IDCJAC0002,040913,2012,09,25.5,Y
IDCJAC0002,040913,2012,10,27.3,Y
IDCJAC0002,040913,2012,11,28.2,Y
IDCJAC0002,040913,2012,12,30.5,Y
IDCJAC0002,040913,2013,01,30.5,Y
IDCJAC0002,040913,2013,02,28.5,Y
IDCJAC0002,040913,2013,03,28.4,Y
IDCJAC0002,040913,2013,04,26.7,Y
IDCJAC0002,040913,2013,05,23.3,Y
IDCJAC0002,040913,2013,06,21.0,Y
IDCJAC0002,040913,2013,07,21.8,Y
IDCJAC0002,040913,2013,08,24.8,Y
IDCJAC0002,040913,2013,09,27.2,Y
IDCJAC0002,040913,2013,10,28.8,Y
IDCJAC0002,040913,2013,11,28.5,Y
IDCJAC0002,040913,2013,12,29.7,Y
IDCJAC0002,040913,2014,01,30.7,Y
IDCJAC0002,040913,2014,02,30.2,Y
IDCJAC0002,040913,2014,03,29.2,Y
IDCJAC0002,040913,2014,04,28.2,Y
IDCJAC0002,040913,2014,05,25.1,Y
IDCJAC0002,040913,2014,06,23.3,Y
IDCJAC0002,040913,2014,07,22.4,Y
IDCJAC0002,040913,2014,08,22.7,Y
IDCJAC0002,040913,2014,09,25.2,Y
IDCJAC0002,040913,2014,10,27.8,Y
IDCJAC0002,040913,2014,11,29.6,Y
IDCJAC0002,040913,2014,12,29.9,Y
IDCJAC0002,040913,2015,01,30.5,Y
IDCJAC0002,040913,2015,02,29.3,Y
IDCJAC0002,040913,2015,03,30.2,Y
IDCJAC0002,040913,2015,04,26.1,Y
IDCJAC0002,040913,2015,05,24.5,Y
IDCJAC0002,040913,2015,06,21.6,Y
IDCJAC0002,040913,2015,07,21.1,Y
IDCJAC0002,040913,2015,08,23.7,Y
IDCJAC0002,040913,2015,09,24.7,Y
IDCJAC0002,040913,2015,10,27.1,Y
IDCJAC0002,040913,2015,11,29.2,Y
IDCJAC0002,040913,2015,12,29.2,Y
IDCJAC0002,040913,2016,01,30.4,Y
IDCJAC0002,040913,2016,02,32.0,Y
IDCJAC0002,040913,2016,03,29.9,Y
IDCJAC0002,040913,2016,04,28.8,Y
IDCJAC0002,040913,2016,05,27.0,Y
IDCJAC0002,040913,2016,06,21.5,Y
IDCJAC0002,040913,2016,07,22.5,Y
IDCJAC0002,040913,2016,08,23.0,Y
IDCJAC0002,040913,2016,09,24.9,Y
IDCJAC0002,040913,2016,10,27.1,Y
IDCJAC0002,040913,2016,11,30.2,Y
IDCJAC0002,040913,2016,12,30.1,Y
IDCJAC0002,040913,2017,01,31.4,Y
IDCJAC0002,040913,2017,02,32.5,Y
IDCJAC0002,040913,2017,03,30.6,Y
IDCJAC0002,040913,2017,04,26.2,Y
IDCJAC0002,040913,2017,05,24.7,Y
IDCJAC0002,040913,2017,06,22.8,Y
IDCJAC0002,040913,2017,07,22.9,Y
IDCJAC0002,040913,2017,08,24.7,Y
IDCJAC0002,040913,2017,09,27.3,Y
IDCJAC0002,040913,2017,10,27.0,Y
IDCJAC0002,040913,2017,11,27.0,Y
IDCJAC0002,040913,2017,12,30.7,Y
IDCJAC0002,040913,2018,01,31.8,Y
IDCJAC0002,040913,2018,02,29.7,Y
IDCJAC0002,040913,2018,03,28.7,Y
IDCJAC0002,040913,2018,04,27.8,Y
IDCJAC0002,040913,2018,05,24.8,Y
IDCJAC0002,040913,2018,06,22.6,Y
IDCJAC0002,040913,2018,07,23.2,Y
IDCJAC0002,040913,2018,08,24.3,Y
IDCJAC0002,040913,2018,09,24.9,Y
IDCJAC0002,040913,2018,10,26.1,Y
IDCJAC0002,040913,2018,11,29.8,Y
IDCJAC0002,040913,2018,12,30.1,Y
IDCJAC0002,040913,2019,01,31.9,Y
IDCJAC0002,040913,2019,02,31.6,Y
IDCJAC0002,040913,2019,03,31.2,Y
IDCJAC0002,040913,2019,04,26.9,Y
IDCJAC0002,040913,2019,05,24.9,Y
IDCJAC0002,040913,2019,06,22.8,Y
IDCJAC0002,040913,2019,07,23.5,Y
IDCJAC0002,040913,2019,08,24.1,Y
IDCJAC0002,040913,2019,09,27.4,Y
IDCJAC0002,040913,2019,10,26.8,Y
IDCJAC0002,040913,2019,11,30.6,Y
IDCJAC0002,040913,2019,12,31.9,Y
IDCJAC0002,040913,2020,01,30.9,Y
IDCJAC0002,040913,2020,02,29.9,Y
IDCJAC0002,040913,2020,03,28.7,Y
IDCJAC0002,040913,2020,04,28.7,Y
IDCJAC0002,040913,2020,05,24.0,Y
IDCJAC0002,040913,2020,06,22.7,Y
